Node1,Node2,Relationship
GO:0072741,GO:0008104,Uncle：1/Nephew (叔侄节点)
GO:1901151,GO:0030649,Sibling (兄弟节点)
GO:0035865,GO:1902075,Uncle：1/Nephew (叔侄节点)
GO:0006260,GO:0006259,Uncle/Nephew：1 (叔侄节点)
GO:0006517,GO:0036211,Uncle/Nephew：1 (叔侄节点)
GO:0042556,GO:0003674,No Specific Relationship
GO:0098709,GO:0098657,Uncle：1/Nephew (叔侄节点)
GO:1904783,GO:0032414,Uncle/Nephew：1 (叔侄节点)
GO:1901351,GO:0031326,Uncle：1/Nephew (叔侄节点)
GO:0010858,GO:0003674,No Specific Relationship
GO:1900349,GO:0033239,Sibling (兄弟节点)
GO:0044696,GO:0001907,Uncle：1/Nephew (叔侄节点)
GO:0005956,GO:1902554,Uncle/Nephew：1 (叔侄节点)
GO:1904728,GO:0031325,Uncle/Nephew：1 (叔侄节点)
GO:0005278,GO:0015297,Uncle：1/Nephew (叔侄节点)
GO:1903424,GO:0098656,Uncle：1/Nephew (叔侄节点)
GO:0039671,GO:0019049,Uncle：1/Nephew (叔侄节点)
GO:2001255,GO:0031062,Uncle：1/Nephew (叔侄节点)
GO:1990151,GO:0008104,Uncle：1/Nephew (叔侄节点)
GO:0034152,GO:0002683,Uncle：1/Nephew (叔侄节点)
GO:0017087,GO:1902494,Uncle/Nephew：1 (叔侄节点)
GO:1990636,GO:0044848,No Specific Relationship
GO:1902274,GO:0034764,Uncle：1/Nephew (叔侄节点)
GO:0070647,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:2000311,GO:0032412,Uncle：1/Nephew (叔侄节点)
GO:0035694,GO:0030163,Uncle：1/Nephew (叔侄节点)
GO:0042702,GO:0048589,Sibling (兄弟节点)
GO:0005385,GO:1901702,Uncle：1/Nephew (叔侄节点)
GO:0001966,GO:0007610,No Specific Relationship
GO:0015724,GO:0019755,Uncle/Nephew：1 (叔侄节点)
GO:1900925,GO:0034764,Uncle：1/Nephew (叔侄节点)
GO:1990710,GO:1990391,Uncle/Nephew：1 (叔侄节点)
GO:0010522,GO:1903169,Sibling (兄弟节点)
GO:0050866,GO:0051241,Uncle/Nephew：1 (叔侄节点)
GO:0015350,GO:1901702,Uncle/Nephew：1 (叔侄节点)
GO:1900849,GO:0062012,Uncle：1/Nephew (叔侄节点)
GO:0031054,GO:0035196,Uncle/Nephew：1 (叔侄节点)
GO:0050993,GO:0071704,Uncle：1/Nephew (叔侄节点)
GO:0009074,GO:0046395,Sibling (兄弟节点)
GO:0015229,GO:1901702,Uncle/Nephew：1 (叔侄节点)
GO:2000773,GO:0031324,Uncle/Nephew：1 (叔侄节点)
GO:1902062,GO:1901565,Sibling (兄弟节点)
GO:0015705,GO:0006820,Uncle：1/Nephew (叔侄节点)
GO:0009435,GO:0006164,Uncle：1/Nephew (叔侄节点)
GO:0045119,GO:0015078,Uncle/Nephew：1 (叔侄节点)
GO:0072748,GO:1901701,Sibling (兄弟节点)
GO:0051287,GO:0030554,Uncle/Nephew：1 (叔侄节点)
GO:0048642,GO:1901862,Uncle：1/Nephew (叔侄节点)
GO:1902025,GO:0015698,Uncle：1/Nephew (叔侄节点)
GO:0060321,GO:0022414,Grandparent-Grandchild (爷孙节点)
GO:0036346,GO:1902075,Uncle：1/Nephew (叔侄节点)
GO:0071714,GO:0005319,Uncle/Nephew：1 (叔侄节点)
GO:0055074,GO:0055080,Uncle：1/Nephew (叔侄节点)
GO:1903544,GO:1902074,Uncle：1/Nephew (叔侄节点)
GO:0010352,GO:0090452,Sibling (兄弟节点)
GO:0070213,GO:0043687,Uncle/Nephew：1 (叔侄节点)
GO:0042040,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:0010217,GO:0030003,Uncle：1/Nephew (叔侄节点)
GO:0005244,GO:0022839,Uncle/Nephew：1 (叔侄节点)
GO:1903928,GO:0071417,Uncle/Nephew：1 (叔侄节点)
GO:0015904,GO:0055085,Uncle：1/Nephew (叔侄节点)
GO:0045293,GO:1902494,Sibling (兄弟节点)
GO:0071090,GO:1902494,Uncle：1/Nephew (叔侄节点)
GO:1900348,GO:0033238,Sibling (兄弟节点)
GO:0036363,GO:0007267,Uncle/Nephew：1 (叔侄节点)
GO:2000441,GO:0002683,Uncle：1/Nephew (叔侄节点)
GO:0055074,GO:0098771,Uncle：1/Nephew (叔侄节点)
GO:0034253,GO:0009896,Uncle：1/Nephew (叔侄节点)
GO:0102091,GO:0052744,Uncle/Nephew：1 (叔侄节点)
GO:2001156,GO:0034251,Uncle/Nephew：1 (叔侄节点)
GO:0097080,GO:0055085,Uncle：1/Nephew (叔侄节点)
GO:0000761,GO:0022414,No Specific Relationship
GO:0055070,GO:0098771,Uncle：1/Nephew (叔侄节点)
GO:0000782,GO:0044815,Uncle/Nephew：1 (叔侄节点)
GO:0070909,GO:0015297,Uncle/Nephew：1 (叔侄节点)
GO:0070332,GO:0140535,Sibling (兄弟节点)
GO:0070079,GO:0016577,Uncle：1/Nephew (叔侄节点)
GO:1903705,GO:0070921,Uncle/Nephew：1 (叔侄节点)
GO:0015200,GO:0015101,Sibling (兄弟节点)
GO:0055064,GO:0098771,Uncle：1/Nephew (叔侄节点)
GO:0045780,GO:0051240,Sibling (兄弟节点)
GO:0070543,GO:1902074,Uncle：1/Nephew (叔侄节点)
GO:0000752,GO:0051703,Uncle/Nephew：1 (叔侄节点)
GO:1901012,GO:0018130,Uncle：1/Nephew (叔侄节点)
GO:1900931,GO:0034764,Uncle：1/Nephew (叔侄节点)
GO:1900851,GO:0062013,Uncle：1/Nephew (叔侄节点)
GO:0071885,GO:0008757,Uncle/Nephew：1 (叔侄节点)
GO:0018527,GO:0008131,Sibling (兄弟节点)
GO:0008213,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:0033819,GO:0016415,Sibling (兄弟节点)
GO:0034168,GO:0009968,Uncle：1/Nephew (叔侄节点)
GO:0033487,GO:0009718,Sibling (兄弟节点)
GO:0071525,GO:0019752,Uncle/Nephew：1 (叔侄节点)
GO:2001157,GO:0034252,Uncle/Nephew：1 (叔侄节点)
GO:0110066,GO:0048519,Uncle：1/Nephew (叔侄节点)
GO:0055062,GO:0098771,Uncle：1/Nephew (叔侄节点)
GO:0140217,GO:0034764,Uncle：1/Nephew (叔侄节点)
GO:0014713,GO:0048635,Uncle：1/Nephew (叔侄节点)
GO:0006702,GO:0042446,Uncle/Nephew：1 (叔侄节点)
GO:0015312,GO:0015078,Uncle/Nephew：1 (叔侄节点)
GO:0008519,GO:0022890,Uncle：1/Nephew (叔侄节点)
GO:0070538,GO:0036041,Sibling (兄弟节点)
GO:0035444,GO:0098655,Uncle：1/Nephew (叔侄节点)
GO:0048870,GO:0009987,Uncle/Nephew：1 (叔侄节点)
GO:0097068,GO:1902074,Uncle：1/Nephew (叔侄节点)
GO:0070930,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:0090266,GO:0010965,Uncle/Nephew：1 (叔侄节点)
GO:1900607,GO:0046395,Sibling (兄弟节点)
GO:0005278,GO:0022853,Uncle：1/Nephew (叔侄节点)
GO:0080048,GO:0070568,No Specific Relationship
GO:2000278,GO:0010556,Uncle/Nephew：1 (叔侄节点)
GO:0009357,GO:0140535,Uncle：1/Nephew (叔侄节点)
GO:0018277,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:0019289,GO:1901566,Uncle/Nephew：1 (叔侄节点)
GO:0060906,GO:0060967,Uncle/Nephew：1 (叔侄节点)
GO:0071717,GO:0015908,Sibling (兄弟节点)
GO:0000096,GO:0019752,Uncle/Nephew：1 (叔侄节点)
GO:0052653,GO:0009190,Uncle：1/Nephew (叔侄节点)
GO:0048521,GO:0051241,Sibling (兄弟节点)
GO:0042047,GO:0032324,Sibling (兄弟节点)
GO:0009690,GO:0042445,Uncle：1/Nephew (叔侄节点)
GO:0030026,GO:0030003,Uncle：1/Nephew (叔侄节点)
GO:1900781,GO:0035835,Uncle：1/Nephew (叔侄节点)
GO:0015110,GO:0022857,Uncle：1/Nephew (叔侄节点)
GO:0006824,GO:0098655,Uncle：1/Nephew (叔侄节点)
GO:0006124,GO:0019538,Uncle：1/Nephew (叔侄节点)
GO:0008928,GO:0070568,Uncle：1/Nephew (叔侄节点)
GO:0046970,GO:0017136,Uncle/Nephew：1 (叔侄节点)
GO:2000869,GO:2000833,Sibling (兄弟节点)
GO:0097196,GO:0032991,Grandparent-Grandchild (爷孙节点)
GO:0000752,GO:0098609,Uncle/Nephew：1 (叔侄节点)
GO:1904917,GO:1990818,Sibling (兄弟节点)
GO:0071379,GO:0071396,Uncle/Nephew：1 (叔侄节点)
GO:1903928,GO:1902075,Sibling (兄弟节点)
GO:0030546,GO:0140677,Uncle/Nephew：1 (叔侄节点)
GO:1905010,GO:0034764,Uncle：1/Nephew (叔侄节点)
GO:0030641,GO:0030003,Uncle：1/Nephew (叔侄节点)
GO:0120256,GO:1901575,Sibling (兄弟节点)
GO:0110129,GO:0016581,Sibling (兄弟节点)
GO:0097280,GO:0034776,No Specific Relationship
GO:0106045,GO:0009438,Uncle：1/Nephew (叔侄节点)
GO:0043823,GO:0016713,Sibling (兄弟节点)
GO:0005347,GO:1901702,Uncle：1/Nephew (叔侄节点)
GO:0047934,GO:0016616,Uncle：1/Nephew (叔侄节点)
GO:1905439,GO:0034284,Uncle/Nephew：1 (叔侄节点)
GO:0007620,GO:0007617,No Specific Relationship
GO:0044747,GO:0031054,Uncle/Nephew：1 (叔侄节点)
GO:0034181,GO:0062208,Uncle：1/Nephew (叔侄节点)
GO:0019457,GO:0043605,Uncle：1/Nephew (叔侄节点)
GO:0014711,GO:0048634,Uncle：1/Nephew (叔侄节点)
GO:0140084,GO:0022413,Uncle：1/Nephew (叔侄节点)
GO:1901567,GO:0008289,Sibling (兄弟节点)
GO:0015515,GO:0015297,Uncle：1/Nephew (叔侄节点)
GO:1903927,GO:0010243,Sibling (兄弟节点)
GO:0015787,GO:1905039,Uncle：1/Nephew (叔侄节点)
GO:0072339,GO:1901362,Uncle：1/Nephew (叔侄节点)
GO:0015012,GO:0044272,Uncle：1/Nephew (叔侄节点)
GO:0039532,GO:0009968,Uncle：1/Nephew (叔侄节点)
GO:0019448,GO:0042219,Uncle：1/Nephew (叔侄节点)
GO:0031990,GO:0014070,No Specific Relationship
GO:0016570,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:0034164,GO:0039532,Uncle/Nephew：1 (叔侄节点)
GO:0120269,GO:0140535,Sibling (兄弟节点)
GO:0070425,GO:0039532,Sibling (兄弟节点)
GO:0030205,GO:0005996,Uncle：1/Nephew (叔侄节点)
GO:0015116,GO:1901702,Uncle/Nephew：1 (叔侄节点)
GO:0060711,GO:0048856,Uncle：1/Nephew (叔侄节点)
GO:0055072,GO:0055080,Uncle：1/Nephew (叔侄节点)
GO:0090453,GO:0015810,Sibling (兄弟节点)
GO:0043861,GO:0015297,Uncle：1/Nephew (叔侄节点)
GO:0009330,GO:1902494,Sibling (兄弟节点)
GO:0097363,GO:0008375,Uncle/Nephew：1 (叔侄节点)
GO:0003998,GO:0016462,Sibling (兄弟节点)
GO:0044601,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:0019674,GO:0046496,Uncle/Nephew：1 (叔侄节点)
GO:1902350,GO:1902075,Uncle：1/Nephew (叔侄节点)
GO:1902899,GO:1901570,Uncle/Nephew：1 (叔侄节点)
GO:0070908,GO:0015297,Uncle/Nephew：1 (叔侄节点)
GO:0015135,GO:0046943,Uncle：1/Nephew (叔侄节点)
GO:2000257,GO:1903317,Sibling (兄弟节点)
GO:0052927,GO:0070567,Sibling (兄弟节点)
GO:0010970,GO:0007018,Uncle：1/Nephew (叔侄节点)
GO:1905039,GO:0046942,Uncle：1/Nephew (叔侄节点)
GO:2000279,GO:0010558,Uncle/Nephew：1 (叔侄节点)
GO:1904952,GO:0046942,Uncle/Nephew：1 (叔侄节点)
GO:0035891,GO:0044000,Uncle/Nephew：1 (叔侄节点)
GO:1903255,GO:1901607,Uncle：1/Nephew (叔侄节点)
GO:0010621,GO:0008104,Uncle：1/Nephew (叔侄节点)
GO:0042863,GO:0019752,Uncle/Nephew：1 (叔侄节点)
GO:0031458,GO:0015418,Sibling (兄弟节点)
GO:0060306,GO:0050789,Uncle：1/Nephew (叔侄节点)
GO:0010226,GO:1902074,Uncle：1/Nephew (叔侄节点)
GO:0055072,GO:0098771,Uncle：1/Nephew (叔侄节点)
GO:0051933,GO:0006865,Uncle：1/Nephew (叔侄节点)
GO:0014712,GO:0048636,Uncle：1/Nephew (叔侄节点)
GO:0005332,GO:0015378,Uncle：1/Nephew (叔侄节点)
GO:2000969,GO:0032414,Uncle/Nephew：1 (叔侄节点)
GO:1901353,GO:0031328,Uncle：1/Nephew (叔侄节点)
GO:0140495,GO:0140352,Uncle：1/Nephew (叔侄节点)
GO:1900781,GO:0018130,Uncle：1/Nephew (叔侄节点)
GO:2000145,GO:0050794,Uncle/Nephew：1 (叔侄节点)
GO:1900318,GO:0033238,Sibling (兄弟节点)
GO:1904679,GO:0015791,Uncle/Nephew：1 (叔侄节点)
GO:2000637,GO:1900370,Sibling (兄弟节点)
GO:0031401,GO:0051247,Uncle：1/Nephew (叔侄节点)
GO:0009435,GO:0019674,Uncle：1/Nephew (叔侄节点)
GO:0006275,GO:0051052,Uncle：1/Nephew (叔侄节点)
GO:0004589,GO:0004152,Uncle/Nephew：1 (叔侄节点)
GO:0009073,GO:0046394,Sibling (兄弟节点)
GO:0034132,GO:0009968,Uncle：1/Nephew (叔侄节点)
GO:0034175,GO:0039531,Uncle/Nephew：1 (叔侄节点)
GO:0033770,GO:0016712,Uncle/Nephew：1 (叔侄节点)
GO:1905347,GO:1905348,Sibling (兄弟节点)
GO:0003995,GO:0052890,Sibling (兄弟节点)
GO:0031399,GO:0051246,Uncle：1/Nephew (叔侄节点)
GO:1902603,GO:0055085,Uncle：1/Nephew (叔侄节点)
GO:1905695,GO:0031328,Uncle：1/Nephew (叔侄节点)
GO:0034179,GO:0039531,Uncle/Nephew：1 (叔侄节点)
GO:0071283,GO:1902075,Uncle：1/Nephew (叔侄节点)
GO:0035832,GO:1901360,Uncle：1/Nephew (叔侄节点)
GO:0007039,GO:0030163,Uncle：1/Nephew (叔侄节点)
GO:0002144,GO:0140535,Sibling (兄弟节点)
GO:0015913,GO:0015912,Uncle/Nephew：1 (叔侄节点)
GO:0002050,GO:0043171,Uncle：1/Nephew (叔侄节点)
GO:0031082,GO:0140535,Sibling (兄弟节点)
GO:0045038,GO:0017038,Uncle：1/Nephew (叔侄节点)
GO:1905014,GO:1900373,Sibling (兄弟节点)
GO:0033052,GO:0019752,Uncle/Nephew：1 (叔侄节点)
GO:1904537,GO:0048519,Uncle：1/Nephew (叔侄节点)
GO:0008207,GO:0009987,No Specific Relationship
GO:0051725,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:0051983,GO:0010564,Uncle/Nephew：1 (叔侄节点)
GO:0070012,GO:0004175,Sibling (兄弟节点)
GO:0005334,GO:0015101,Uncle/Nephew：1 (叔侄节点)
GO:0042959,GO:0005342,Uncle/Nephew：1 (叔侄节点)
GO:0035938,GO:0035929,Sibling (兄弟节点)
GO:0004843,GO:0008234,Uncle/Nephew：1 (叔侄节点)
GO:1902617,GO:1901700,Uncle/Nephew：1 (叔侄节点)
GO:1901755,GO:0120178,Uncle/Nephew：1 (叔侄节点)
GO:0010966,GO:0051049,Uncle：1/Nephew (叔侄节点)
GO:0015137,GO:1901702,Uncle：1/Nephew (叔侄节点)
GO:0140670,GO:0140097,Uncle：1/Nephew (叔侄节点)
GO:1904091,GO:0003824,No Specific Relationship
GO:0009401,GO:0098704,Uncle/Nephew：1 (叔侄节点)
GO:0090373,GO:0034763,Sibling (兄弟节点)
GO:0034977,GO:1902554,Uncle/Nephew：1 (叔侄节点)
GO:2000147,GO:0048522,Uncle/Nephew：1 (叔侄节点)
GO:1905542,GO:0034763,Uncle：1/Nephew (叔侄节点)
GO:0015325,GO:0015297,Uncle/Nephew：1 (叔侄节点)
GO:0051305,GO:0050000,Uncle/Nephew：1 (叔侄节点)
GO:0033241,GO:0009894,Uncle：1/Nephew (叔侄节点)
GO:0019289,GO:0043604,Uncle/Nephew：1 (叔侄节点)
GO:0060391,GO:1902533,Uncle/Nephew：1 (叔侄节点)
GO:1900789,GO:0072340,Sibling (兄弟节点)
GO:0019651,GO:0019666,Uncle/Nephew：1 (叔侄节点)
GO:0015106,GO:1901702,Uncle：1/Nephew (叔侄节点)
GO:0070574,GO:0098655,Uncle：1/Nephew (叔侄节点)
GO:0015706,GO:0098661,Sibling (兄弟节点)
GO:0030209,GO:0052782,Uncle：1/Nephew (叔侄节点)
GO:1901370,GO:0010033,Uncle：1/Nephew (叔侄节点)
GO:0035830,GO:0046483,Uncle：1/Nephew (叔侄节点)
GO:0015123,GO:1901702,Uncle：1/Nephew (叔侄节点)
GO:0043210,GO:1901681,Uncle：1/Nephew (叔侄节点)
GO:0017086,GO:1902494,Sibling (兄弟节点)
GO:0015898,GO:0015695,Sibling (兄弟节点)
GO:0097429,GO:1904091,No Specific Relationship
GO:0042918,GO:0015849,Uncle/Nephew：1 (叔侄节点)
GO:0015520,GO:0015078,Uncle：1/Nephew (叔侄节点)
GO:0051592,GO:1902074,Uncle：1/Nephew (叔侄节点)
GO:1903174,GO:1901569,Uncle/Nephew：1 (叔侄节点)
GO:0007312,GO:0022412,Uncle：1/Nephew (叔侄节点)
GO:1901388,GO:0023051,Uncle：1/Nephew (叔侄节点)
GO:0030205,GO:0052779,Uncle：1/Nephew (叔侄节点)
GO:0010598,GO:1902494,Sibling (兄弟节点)
GO:0019474,GO:0043605,Uncle：1/Nephew (叔侄节点)
GO:1901036,GO:0034764,Uncle：1/Nephew (叔侄节点)
GO:0034628,GO:0006531,Uncle：1/Nephew (叔侄节点)
GO:2001302,GO:0001676,Uncle/Nephew：1 (叔侄节点)
GO:0032300,GO:0032991,Grandparent-Grandchild (爷孙节点)
GO:0034217,GO:0009308,Uncle：1/Nephew (叔侄节点)
GO:0080170,GO:0071702,Uncle/Nephew：1 (叔侄节点)
GO:0051592,GO:1901700,Uncle：1/Nephew (叔侄节点)
GO:0090398,GO:0044237,Uncle：1/Nephew (叔侄节点)
GO:0102459,GO:0017110,Uncle/Nephew：1 (叔侄节点)
GO:0015794,GO:0055085,Uncle：1/Nephew (叔侄节点)
GO:1903269,GO:1902494,Sibling (兄弟节点)
GO:0045882,GO:0032108,Uncle/Nephew：1 (叔侄节点)
GO:0046585,GO:0072339,Uncle/Nephew：1 (叔侄节点)
GO:2000279,GO:0031327,Uncle：1/Nephew (叔侄节点)
GO:0006477,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:0052599,GO:0052597,Sibling (兄弟节点)
GO:0046904,GO:0031406,Uncle/Nephew：1 (叔侄节点)
GO:0019051,GO:0039526,Uncle：1/Nephew (叔侄节点)
GO:0019654,GO:0019666,Sibling (兄弟节点)
GO:0042879,GO:0046943,Uncle：1/Nephew (叔侄节点)
GO:0015091,GO:1901702,Uncle：1/Nephew (叔侄节点)
GO:0070089,GO:0005254,Uncle：1/Nephew (叔侄节点)
GO:0006808,GO:0032107,Uncle/Nephew：1 (叔侄节点)
GO:0060408,GO:0031323,Uncle/Nephew：1 (叔侄节点)
GO:0044659,GO:0001897,Uncle/Nephew：1 (叔侄节点)
GO:0015552,GO:1901702,Uncle：1/Nephew (叔侄节点)
GO:0120188,GO:0032890,Uncle/Nephew：1 (叔侄节点)
GO:0050993,GO:0006793,Uncle：1/Nephew (叔侄节点)
GO:2000868,GO:2000832,Sibling (兄弟节点)
GO:0018032,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:1904200,GO:0098656,Uncle：1/Nephew (叔侄节点)
GO:0015220,GO:0015651,Sibling (兄弟节点)
GO:0034135,GO:0062207,Uncle：1/Nephew (叔侄节点)
GO:0071939,GO:0140354,Uncle：1/Nephew (叔侄节点)
GO:0046494,GO:0019752,Uncle/Nephew：1 (叔侄节点)
GO:0045487,GO:0046395,Sibling (兄弟节点)
GO:0035432,GO:0032892,Uncle：1/Nephew (叔侄节点)
GO:1903708,GO:0010720,Uncle/Nephew：1 (叔侄节点)
GO:0015916,GO:0015711,Uncle/Nephew：1 (叔侄节点)
GO:0006468,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:0052644,GO:0032787,Uncle/Nephew：1 (叔侄节点)
GO:0006874,GO:0030003,Uncle：1/Nephew (叔侄节点)
GO:1900758,GO:1902283,Sibling (兄弟节点)
GO:1900470,GO:0031328,Uncle：1/Nephew (叔侄节点)
GO:0072756,GO:1902075,Uncle/Nephew：1 (叔侄节点)
GO:0015708,GO:0098658,Sibling (兄弟节点)
GO:0036104,GO:1901570,Uncle：1/Nephew (叔侄节点)
GO:1905473,GO:0031062,Uncle：1/Nephew (叔侄节点)
GO:1901327,GO:1901700,Sibling (兄弟节点)
GO:0046306,GO:0044273,Uncle/Nephew：1 (叔侄节点)
GO:0071302,GO:1902075,Uncle/Nephew：1 (叔侄节点)
GO:1901007,GO:1901360,Uncle：1/Nephew (叔侄节点)
GO:0034156,GO:0039532,Uncle/Nephew：1 (叔侄节点)
GO:0046774,GO:0019049,Uncle：1/Nephew (叔侄节点)
GO:1900850,GO:0062014,Uncle：1/Nephew (叔侄节点)
GO:0061686,GO:0046993,Uncle/Nephew：1 (叔侄节点)
GO:1904536,GO:0032879,Uncle：1/Nephew (叔侄节点)
GO:0045456,GO:0006694,Uncle/Nephew：1 (叔侄节点)
GO:0039694,GO:0032774,No Specific Relationship
GO:1902024,GO:0015807,Uncle/Nephew：1 (叔侄节点)
GO:1905741,GO:0051649,Uncle：1/Nephew (叔侄节点)
GO:0005302,GO:1901702,Uncle：1/Nephew (叔侄节点)
GO:0042859,GO:0046395,Sibling (兄弟节点)
GO:0098933,GO:0052008,Uncle/Nephew：1 (叔侄节点)
GO:0022850,GO:0099589,Uncle：1/Nephew (叔侄节点)
GO:1902082,GO:0051928,Uncle/Nephew：1 (叔侄节点)
GO:0039504,GO:0019049,Uncle：1/Nephew (叔侄节点)
GO:0061436,GO:0098773,No Specific Relationship
GO:0034140,GO:0039532,Uncle/Nephew：1 (叔侄节点)
GO:0042932,GO:0046942,Uncle/Nephew：1 (叔侄节点)
GO:0000758,GO:0098609,Uncle：1/Nephew (叔侄节点)
GO:0015306,GO:0046943,Uncle/Nephew：1 (叔侄节点)
GO:0008735,GO:0008410,No Specific Relationship
GO:0008518,GO:0008509,Uncle：1/Nephew (叔侄节点)
GO:0018293,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:0031927,GO:1901702,Uncle/Nephew：1 (叔侄节点)
GO:0043872,GO:0015297,Uncle：1/Nephew (叔侄节点)
GO:0034144,GO:0002683,Uncle：1/Nephew (叔侄节点)
GO:0001579,GO:0015908,Sibling (兄弟节点)
GO:0070360,GO:0070358,No Specific Relationship
GO:0070069,GO:1902494,Sibling (兄弟节点)
GO:1900648,GO:0031328,Uncle：1/Nephew (叔侄节点)
GO:0090139,GO:0051276,Uncle：1/Nephew (叔侄节点)
GO:0031928,GO:1901702,Uncle/Nephew：1 (叔侄节点)
GO:0020028,GO:0015031,Uncle/Nephew：1 (叔侄节点)
GO:0046155,GO:1902644,No Specific Relationship
GO:0034177,GO:0062208,Uncle：1/Nephew (叔侄节点)
GO:0032847,GO:0050789,Uncle：1/Nephew (叔侄节点)
GO:0099635,GO:0005245,Uncle：1/Nephew (叔侄节点)
GO:0031053,GO:0035196,Uncle/Nephew：1 (叔侄节点)
GO:0044726,GO:0010216,No Specific Relationship
GO:0071314,GO:1902075,Uncle/Nephew：1 (叔侄节点)
GO:2000633,GO:1903800,Sibling (兄弟节点)
GO:1901012,GO:1901362,Uncle：1/Nephew (叔侄节点)
GO:0052596,GO:0008131,Sibling (兄弟节点)
GO:1903221,GO:0051052,Uncle：1/Nephew (叔侄节点)
GO:0140145,GO:0035434,Uncle/Nephew：1 (叔侄节点)
GO:0019623,GO:0043605,Uncle/Nephew：1 (叔侄节点)
GO:0019694,GO:0006790,Uncle/Nephew：1 (叔侄节点)
GO:0043872,GO:1901702,Uncle：1/Nephew (叔侄节点)
GO:0015141,GO:1901702,Uncle：1/Nephew (叔侄节点)
GO:0015312,GO:0015297,Uncle/Nephew：1 (叔侄节点)
GO:0006749,GO:0071704,Uncle：1/Nephew (叔侄节点)
GO:0099099,GO:0022839,Sibling (兄弟节点)
GO:0061389,GO:0065008,Uncle：1/Nephew (叔侄节点)
GO:0015778,GO:0034219,Sibling (兄弟节点)
GO:1900991,GO:0097176,Uncle/Nephew：1 (叔侄节点)
GO:0097638,GO:0072337,Uncle/Nephew：1 (叔侄节点)
GO:0010960,GO:0055080,Uncle：1/Nephew (叔侄节点)
GO:0050833,GO:1901702,Uncle：1/Nephew (叔侄节点)
GO:0043924,GO:0043168,Uncle/Nephew：1 (叔侄节点)
GO:0006569,GO:0042436,Uncle/Nephew：1 (叔侄节点)
GO:0006865,GO:0046942,Uncle/Nephew：1 (叔侄节点)
GO:0042030,GO:0060590,Uncle/Nephew：1 (叔侄节点)
GO:0019829,GO:0008324,Uncle/Nephew：1 (叔侄节点)
GO:0008199,GO:1901681,Uncle：1/Nephew (叔侄节点)
GO:0007446,GO:0048589,Uncle：1/Nephew (叔侄节点)
GO:0043796,GO:0033721,Uncle/Nephew：1 (叔侄节点)
GO:0070218,GO:0098771,Uncle：1/Nephew (叔侄节点)
GO:0034472,GO:0031123,Uncle：1/Nephew (叔侄节点)
GO:0060378,GO:0065007,Grandparent-Grandchild (爷孙节点)
GO:0035832,GO:0046483,Uncle：1/Nephew (叔侄节点)
GO:0097272,GO:0098771,Uncle：1/Nephew (叔侄节点)
GO:0008514,GO:0022857,Uncle：1/Nephew (叔侄节点)
GO:0006878,GO:0030003,Uncle：1/Nephew (叔侄节点)
GO:0008156,GO:0051053,Uncle：1/Nephew (叔侄节点)
GO:1901009,GO:0018130,Uncle：1/Nephew (叔侄节点)
GO:1904277,GO:0051055,Sibling (兄弟节点)
GO:0034137,GO:0062208,Uncle：1/Nephew (叔侄节点)
GO:0035846,GO:0003006,Uncle：1/Nephew (叔侄节点)
GO:1904399,GO:0031406,Uncle/Nephew：1 (叔侄节点)
GO:0010960,GO:0098771,Uncle：1/Nephew (叔侄节点)
GO:0009579,GO:0043232,Uncle/Nephew：1 (叔侄节点)
GO:0004475,GO:0070568,Uncle：1/Nephew (叔侄节点)
GO:1901327,GO:0014070,Uncle/Nephew：1 (叔侄节点)
GO:2000864,GO:2000831,Sibling (兄弟节点)
GO:0034432,GO:0016462,Uncle：1/Nephew (叔侄节点)
GO:0015240,GO:1901702,Uncle/Nephew：1 (叔侄节点)
GO:0060964,GO:1900368,Sibling (兄弟节点)
GO:0015367,GO:0015297,Uncle：1/Nephew (叔侄节点)
GO:0071897,GO:0009059,Uncle：1/Nephew (叔侄节点)
GO:0045119,GO:0022853,Uncle/Nephew：1 (叔侄节点)
GO:0060249,GO:0048871,Sibling (兄弟节点)
GO:0006581,GO:1901565,Sibling (兄弟节点)
GO:0019504,GO:0009063,Uncle/Nephew：1 (叔侄节点)
GO:0002630,GO:0045732,Uncle：1/Nephew (叔侄节点)
GO:1903780,GO:0048519,Uncle：1/Nephew (叔侄节点)
GO:0043879,GO:1901702,Uncle：1/Nephew (叔侄节点)
GO:0010133,GO:0043605,Uncle：1/Nephew (叔侄节点)
GO:0015816,GO:0015807,Sibling (兄弟节点)
GO:0008641,GO:0140657,No Specific Relationship
GO:1905856,GO:1900543,Uncle/Nephew：1 (叔侄节点)
GO:0140421,GO:0140298,Sibling (兄弟节点)
GO:0033274,GO:1902074,Uncle/Nephew：1 (叔侄节点)
